"","fips_code","collection_week","previous_day_admission_adult_covid_confirmed_7_day_sum","previous_day_admission_pediatric_covid_confirmed_7_day_sum","previous_day_covid_ED_visits_7_day_sum","previous_day_admission_adult_covid_suspected_7_day_sum","previous_day_admission_pediatric_covid_suspected_7_day_sum"
"387",8005,"2020-12-04",148,0,496,22,0
"388",8007,"2020-12-04",8,0,24,0,0
"389",8013,"2020-11-20",119,0,167,82,0
"390",8013,"2020-11-27",19,0,31,0,0
"391",8013,"2020-12-04",67,0,79,20,0
"392",8014,"2020-11-20",18,0,35,10,0
"393",8014,"2020-11-27",23,0,48,11,0
"394",8014,"2020-12-04",18,0,68,19,0
"395",8015,"2020-11-20",0,0,0,0,0
"396",8017,"2020-11-27",0,0,5,0,0
"397",8021,"2020-11-20",0,0,0,0,0
"398",8021,"2020-12-04",0,0,0,0,0
"399",8029,"2020-11-27",9,0,31,0,0
"400",8029,"2020-12-04",6,0,30,0,0
"401",8031,"2020-11-20",114,0,229,92,0
"402",8031,"2020-11-27",43,0,96,17,0
"403",8031,"2020-12-04",23,0,63,9,0
"404",8035,"2020-11-27",58,0,112,10,0
"405",8035,"2020-12-04",52,0,153,14,0
"406",8037,"2020-11-27",4,0,30,0,0
"407",8041,"2020-11-20",92,0,131,8,0
"408",8041,"2020-11-27",225,0,385,39,17
"409",8041,"2020-12-04",223,0,325,34,8
"410",8043,"2020-11-27",38,0,63,9,0
"411",8043,"2020-12-04",43,0,61,6,0
"412",8045,"2020-11-20",35,0,96,0,0
"413",8045,"2020-11-27",17,0,94,0,0
"414",8045,"2020-12-04",16,0,42,0,0
"415",8049,"2020-11-20",0,0,7,0,0
"416",8049,"2020-12-04",0,0,13,0,0
"417",8051,"2020-12-04",6,0,6,0,0
"418",8055,"2020-11-27",4,0,9,0,0
"419",8059,"2020-11-20",175,0,252,88,4
"420",8059,"2020-11-27",43,0,73,10,0
"421",8059,"2020-12-04",40,0,75,12,0
"422",8061,"2020-11-20",0,0,0,0,0
"423",8063,"2020-11-20",0,0,18,0,0
"424",8063,"2020-12-04",4,0,22,0,0
"425",8065,"2020-11-20",0,0,0,0,0
"426",8065,"2020-11-27",0,0,5,5,0
"427",8065,"2020-12-04",0,0,6,0,0
"428",8067,"2020-11-20",9,0,20,0,0
"429",8067,"2020-11-27",0,0,5,0,0
"430",8067,"2020-12-04",9,0,25,0,0
"431",8069,"2020-11-20",21,0,130,11,0
"432",8069,"2020-11-27",21,0,141,16,0
"433",8069,"2020-12-04",5,0,0,0,0
"434",8071,"2020-11-27",6,0,32,0,0
"435",8073,"2020-11-27",0,0,0,0,0
"436",8073,"2020-12-04",0,0,0,0,0
"437",8075,"2020-11-27",9,0,0,5,0
"438",8077,"2020-11-20",15,0,89,0,0
"439",8077,"2020-11-27",9,0,67,0,0
"440",8077,"2020-12-04",59,0,73,54,13
"441",8081,"2020-11-20",42,0,7,42,0
"442",8081,"2020-11-27",44,0,9,44,0
"443",8081,"2020-12-04",7,0,7,7,0
"444",8083,"2020-11-20",8,0,16,0,0
"445",8083,"2020-11-27",7,0,25,0,0
"446",8083,"2020-12-04",5,0,21,0,0
"447",8085,"2020-12-04",13,0,30,0,0
"448",8087,"2020-11-27",5,0,38,0,0
"449",8095,"2020-11-27",0,0,0,0,0
"450",8097,"2020-11-20",0,0,17,0,0
"451",8099,"2020-11-20",5,0,132,0,0
"452",8099,"2020-11-27",4,0,37,0,0
"453",8101,"2020-11-20",8,0,16,0,0
